<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>
ГАЗПРОМ ао	W	09.01.2017	0	157,95	107224070		Распадская	W	09.01.2017	0	91,49	26019330		НЛМК ао	W	09.01.2017	0	113,44	19894390
ГАЗПРОМ ао	W	16.01.2017	0	149,7	134293140		Распадская	W	16.01.2017	0	88	15605860		НЛМК ао	W	16.01.2017	0	110	16027130
ГАЗПРОМ ао	W	23.01.2017	0	154,09	139132880		Распадская	W	23.01.2017	0	90,78	12457200		НЛМК ао	W	23.01.2017	0	116,8	27263570
ГАЗПРОМ ао	W	30.01.2017	0	149,35	112054140		Распадская	W	30.01.2017	0	88,68	12983950		НЛМК ао	W	30.01.2017	0	119,19	25375450
ГАЗПРОМ ао	W	06.02.2017	0	140,5	193718760		Распадская	W	06.02.2017	0	85,6	12187290		НЛМК ао	W	06.02.2017	0	121,29	22815940
ГАЗПРОМ ао	W	13.02.2017	0	138,12	148457130		Распадская	W	13.02.2017	0	87,66	17689040		НЛМК ао	W	13.02.2017	0	122,99	17259260
ГАЗПРОМ ао	W	20.02.2017	0	136,75	91008970		Распадская	W	20.02.2017	0	85,2	6341120		НЛМК ао	W	20.02.2017	0	116,37	12098870
ГАЗПРОМ ао	W	27.02.2017	0	134,8	243415230		Распадская	W	27.02.2017	0	82,41	27154230		НЛМК ао	W	27.02.2017	0	111,5	20887280
ГАЗПРОМ ао	W	06.03.2017	0	128,78	143824060		Распадская	W	06.03.2017	0	66,51	47095940		НЛМК ао	W	06.03.2017	0	108,04	24495200
ГАЗПРОМ ао	W	13.03.2017	0	128,94	199006230		Распадская	W	13.03.2017	0	73,08	26382180		НЛМК ао	W	13.03.2017	0	114,16	22553070
ГАЗПРОМ ао	W	20.03.2017	0	130,05	164617470		Распадская	W	20.03.2017	0	73,95	23042770		НЛМК ао	W	20.03.2017	0	111,98	25325170
ГАЗПРОМ ао	W	27.03.2017	0	127,9	126195120		Распадская	W	27.03.2017	0	69,58	17464420		НЛМК ао	W	27.03.2017	0	113,11	16551550
ГАЗПРОМ ао	W	03.04.2017	0	128,72	131951690		Распадская	W	03.04.2017	0	75,7	16948080		НЛМК ао	W	03.04.2017	0	110,85	12332090
ГАЗПРОМ ао	W	10.04.2017	0	122,85	148494550		Распадская	W	10.04.2017	0	69,94	18688650		НЛМК ао	W	10.04.2017	0	104,21	25412620
ГАЗПРОМ ао	W	17.04.2017	0	123	135224530		Распадская	W	17.04.2017	0	67,36	25059970		НЛМК ао	W	17.04.2017	0	101,35	23779650
ГАЗПРОМ ао	W	24.04.2017	0	136,75	334511630		Распадская	W	24.04.2017	0	72,99	19566320		НЛМК ао	W	24.04.2017	0	107,75	19067730
ГАЗПРОМ ао	W	01.05.2017	0	134,41	125256740		Распадская	W	01.05.2017	0	70,7	7935730		НЛМК ао	W	01.05.2017	0	106,99	7973230
ГАЗПРОМ ао	W	08.05.2017	0	132,5	84295490		Распадская	W	08.05.2017	0	69,85	5912210		НЛМК ао	W	08.05.2017	0	103,8	7159430
